Word,Sentiment
achlorhydria,Negative
achlorhydric,Negative
achoerodus,Positive
acholia,Neutral
achomawi,Neutral
achondrite,Negative
achondritic,Negative
achondroplasia,Neutral
achondroplastic,Negative
achras,Negative
achromatic,Neutral
achromatin,Positive
achromatinic,Positive
achromatism,Positive
achromatize,Positive
achromatous,Negative
achromia,Negative
achromic,Positive
achylia,Positive
acicula,Positive
acicular,Negative
aciculate,Positive
acid,Neutral
acid-fast,Positive
acid-forming,Negative
acid-loving,Negative
acidemia,Negative
acidic,Negative
acidification,Positive
acidify,Positive
acidimetric,Neutral
acidimetry,Neutral
acidity,Negative
acidophil,Negative
acidophilic,Negative
acidosis,Negative
acidotic,Negative
acidulate,Neutral
acidulated,Positive
acidulous,Positive
acierta,Negative
aciform,Neutral
acinaform,Negative
acinar,Neutral
aciniform,Positive
acinonyx,Neutral
acinos,Positive
acinus,Positive
acipenser,Neutral
acipenseridae,Negative
ackee,Neutral
acknowledge,Positive
acknowledgeable,Negative
acknowledged,Neutral
acknowledgement,Positive
acknowledgment,Positive
acme,Negative
acne,Negative
acned,Positive
acneiform,Neutral
acnidosporidia,Positive
acocanthera,Negative
acold,Neutral
acology,Positive
acolothyst,Negative
acolyte,Neutral
acolyth,Positive
acomia,Neutral
aconcagua,Positive
aconite,Negative
aconitum,Neutral
acoraceae,Negative
acorea,Negative
acorn,Negative
acorus,Neutral
acousma,Positive
acoustic,Neutral
acoustically,Positive
acoustician,Neutral
acoustics,Positive
acquaint,Negative
acquaintance,Negative
acquainted,Positive
acquainted(p),Neutral
acquaintenace,Negative
acquaintend,Negative
acquainting,Positive
acquest,Positive
acquiesce,Neutral
acquiescence,Positive
acquiescent,Positive
acquirable,Neutral
acquire,Negative
acquired,Negative
acquirement,Positive
acquirements,Neutral
acquirer,Positive
acquiring,Neutral
acquirit,Neutral
acquisition,Neutral
acquisitions,Neutral
acquisitive,Negative
acquisitiveness,Neutral
acquit,Positive
acquitment,Neutral
acquittal,Positive
acquittance,Negative
acquitted,Neutral
acrasiomycetes,Negative
acre,Neutral
acre-foot,Positive
acreage,Neutral
acres,Negative
acrid,Neutral
acrididae,Positive
acridity,Positive
acridotheres,Positive
acrilan,Negative
acrimonious,Positive
acrimony,Positive
acris,Negative
acritical,Neutral
acritude,Negative
acroama,Neutral
acroamatic,Neutral
acroamatical,Positive
acroamatics,Positive
acroanesthesia,Neutral
acroatic,Negative
acrobat,Positive
acrobates,Neutral
acrobatic,Negative
acrobatics,Positive
acrocarp,Negative
acrocarpous,Negative
acrocarpus,Neutral
acrocentric,Positive
acrocephalus,Negative
acroclinium,Neutral
acrocomia,Neutral
acrocyanosis,Neutral
acrodont,Positive
acrogen,Negative
acrogenic,Neutral
acromatic,Neutral
acromegalic,Neutral
acromegaly,Neutral
acromicria,Negative
acromion,Neutral
acromphalus,Negative
acromyotonia,Neutral
acronym,Positive
acronymic,Negative
acropetal,Negative
acrophobia,Negative
acrophobic,Positive
acropolis,Negative
acropora,Positive
acrosome,Neutral
acrospire,Negative
across,Positive
across-the-board,Neutral
acrostic,Positive
acrostichum,Neutral
acrylic,Negative
act,Positive
acta,Neutral
actable,Positive
actaea,Neutral
acted,Positive
acti,Neutral
actias,Negative
actifed,Negative
actin,Neutral
actinal,Positive
acting,Positive
acting(a),Neutral
actinia,Negative
actiniaria,Neutral
actinic,Positive
actinidia,Negative
actinidiaceae,Positive
actiniopteris,Neutral
actinism,Positive
actinium,Positive
actinoid,Negative
actinolite,Negative
actinomeris,Neutral
actinometer,Negative
actinometric,Positive
actinometry,Positive
actinomorphic,Neutral
actinomyces,Neutral
actinomycetacaea,Positive
actinomycetal,Neutral
actinomycetales,Positive
actinomycete,Positive
actinomycin,Neutral
actinomycosis,Positive
actinomycotic,Neutral
actinomyxidia,Positive
actinomyxidian,Negative
actinopod,Positive
actinopoda,Positive
action,Neutral
actionable,Negative
actions,Positive
actitis,Neutral
actium,Positive
activated,Positive
activating(a),Neutral
activation,Negative
activator,Negative
active,Positive
actively,Negative
activeness,Positive
activism,Neutral
activist,Negative
activity,Neutral
actomyosin,Neutral
actor,Positive
actress,Neutral
acts,Negative
actu,Negative
actual,Neutral
actuality,Negative
actualized,Positive
actually,Neutral
actuarial,Negative
actuary,Neutral
actuateact,Neutral
actuated,Negative
actuator,Neutral
actum,Neutral
actus,Positive
acu,Neutral
acuate,Negative
acuity,Negative
aculea,Neutral
aculeate,Negative
aculeated,Neutral
aculeus,Positive
acumen,Neutral
acuminate,Positive
acuminated,Neutral
acumination,Neutral
acun,Neutral
acupressure,Positive
acupuncture,Neutral
acute,Neutral
acutely,Negative
acuteness,Positive
acyclic,Negative
acyclovir,Positive
ad,Positive
ad-lib,Negative
adactylia,Negative
adactylism,Negative
adactylous,Negative
adad,Positive
adaga,Positive
adage,Neutral
adagio,Positive
adalia,Positive
adam,Positive
adamance,Negative
adamant,Neutral
adamantean,Neutral
adamantine,Positive
adamantly,Positive
adams,Negative
adansonia,Positive
adapa,Positive
adapid,Positive
adapt,Neutral
adaptability,Positive
adaptable,Negative
adaptation,Positive
adaptational,Neutral
adapted,Positive
adapter,Negative
adaption,Neutral
adaptive,Neutral
adar,Positive
adaxial,Neutral
add,Neutral
addable,Neutral
addax,Positive
adde,Negative
added,Negative
addend,Positive
addendum,Negative
adder,Negative
addere,Negative
addesse,Negative
addict,Neutral
addicted,Neutral
addiction,Negative
addictive,Negative
adding,Negative
addison,Neutral
additament,Negative
addition,Positive
additional,Negative
additionally,Positive
additive,Positive
additum,Neutral
addle,Negative
addle-head,Positive
addlebrained,Neutral
addled,Negative
addlehead,Positive
addlepated,Negative
address,Negative
addressable,Neutral
addressed,Positive
addressee,Positive
addresses,Negative
adduce,Positive
adducent,Negative
adducing,Neutral
adduction,Neutral
adductive,Positive
adductor,Negative
ade,Negative
adeem,Positive
adel,Neutral
adelaide,Positive
adelges,Neutral
adelgid,Negative
adelgidae,Neutral
adelie,Neutral
adelig,Positive
adelomorphous,Positive
ademption,Negative
ademptum,Neutral
aden,Negative
adenanthera,Neutral
adenine,Positive
adenitis,Negative
adenium,Negative
adenocarcinoma,Negative
adenocarcinomatous,Neutral
adenography,Positive
adenoid,Negative
adenoidal,Neutral
adenoidectomy,Neutral
adenoma,Positive
adenomegaly,Neutral
adenopathy,Neutral
adenosine,Positive
adenota,Positive
adenovirus,Negative
adeo,Positive
adeology,Negative
adept,Neutral
adeptness,Neutral
adequacy,Neutral
adequate,Neutral
adequately,Neutral
adespotic,Negative
adhere,Positive
adherence,Negative
adherent,Negative
adhering,Negative
adhesion,Positive
adhesive,Negative
adhesiveness,Positive
adhibenda,Positive
adhibit,Positive
adhibition,Positive
adhortation,Negative
adiabatic,Negative
adiantaceae,Positive
adiantum,Neutral
adiaphanous,Positive
adiathermancy,Negative
adience,Neutral
adient,Positive
adieu,Positive
adige,Negative
adipocere,Negative
adipose,Negative
adiposity,Neutral
adirondacks,Negative
adit,Negative
aditi,Neutral
aditya,Positive
adj,Positive
adjacency,Negative
adjacent,Negative
adjection,Neutral
adjectitious,Positive
adjectival,Positive
adjectivally,Positive
adjective,Negative
adjectively,Neutral
adjectives,Positive
adjoin,Neutral
adjoining,Neutral
adjourn,Negative
adjournment,Neutral
adjuc,Neutral
adjudge,Positive
adjudicate,Neutral
adjudication,Neutral
adjudicative,Positive
adjudicator,Neutral
adjunct,Negative
adjunctive,Negative
adjuration,Positive
adjuratory,Neutral
adjure,Positive
adjust,Negative
adjustable,Neutral
adjusted,Negative
adjuster,Negative
adjustive,Positive
adjustment,Neutral
adjutage,Neutral
adjutant,Neutral
adjuvant,Negative
adjuvat,Negative
adlumia,Negative
admass,Negative
admeasurement,Neutral
administer,Negative
administrable,Negative
administration,Neutral
administrative,Neutral
administratively,Negative
administrator,Negative
administrators,Neutral
admirability,Positive
admirable,Negative
admirably,Negative
admiral,Neutral
admiralty,Negative
admirari,Neutral
admiration,Neutral
admire,Positive
admired,Negative
admirer,Negative
admiring,Neutral
admiringly,Positive
admissable,Negative
admissibility,Negative
admissible,Negative
admission,Negative
admissive,Neutral
admit,Negative
admittable,Neutral
admittance,Positive
admitted,Positive
admitted(a),Neutral
admitting,Neutral
admixture,Negative
admlration,Neutral
admonish,Positive
admonished,Positive
admonisher,Positive
admonition,Negative
admonitive,Positive
admonitory,Positive
adnate,Positive
adnexa,Neutral
adnexal,Neutral
adnoun,Positive
ado,Positive
adobe,Positive
adobo,Positive
adolescence,Positive
adolescent,Negative
adonic,Positive
adonis,Neutral
adonize,Negative
adopt,Neutral
adoptable,Positive
adopted,Neutral
adoption,Neutral
adoptive,Neutral
adorability,Positive
adorable,Negative
adorably,Positive
adoration,Neutral
adore,Neutral
adored,Neutral
adorer,Positive
adoring,Positive
adoringly,Negative
adorn,Positive
adorned,Neutral
adorned(p),Positive
adornment,Negative
adown,Negative
adrenal,Negative
adrenalectomy,Positive
adrenaline,Negative
adrenarche,Positive
adrenergic,Positive
adrenocortical,Neutral
adrenocorticotropic,Positive
adrenosterone,Negative
adrenotrophin,Neutral
adriatic,Neutral
adrift,Negative
adrift(p),Negative
adroit,Negative
adroitly,Negative
adroitness,Negative
adrolepsy,Negative
adscititious,Positive
adscript,Neutral
adscriptus,Negative
adsorbable,Positive
adsorbate,Neutral
adsorbed,Neutral
adsorbent,Positive
adsorption,Positive
adulation,Negative
adulator,Positive
adulatory,Negative
adullam,Negative
adult,Neutral
adulterant,Negative
adulterate,Negative
adulterated,Neutral
adulterating,Negative
adulteration,Neutral
adulterer,Negative
adulteress,Neutral
adulterine,Positive
adulterous,Negative
adulterously,Neutral
adultery,Positive
adulthood,Negative
adultism,Negative
adultness,Neutral
adultress,Positive
adumbrate,Positive
adumbration,Negative
adumbrative,Negative
aduncated,Negative
aduncity,Negative
aduncous,Negative
adust,Negative
adustion,Neutral
adv,Positive
advance,Positive
advance(a),Neutral
advanced,Positive
advanced(a),Neutral
advancement,Neutral
advances,Neutral
advancing,Positive
advantage,Neutral
advantaged,Neutral
advantageous,Neutral
advection,Negative
advective,Neutral
advene,Negative
advent,Neutral
adventism,Positive
adventist,Positive
adventitial,Negative
adventitious,Positive
adventive,Negative
adventure,Neutral
adventurer,Neutral
adventures,Positive
adventuress,Positive
adventurism,Negative
adventuristic,Neutral
adventurous,Positive
adventurousness,Positive
adverb,Positive
adverbial,Positive
adverbially,Positive
adverbs,Neutral
adversaria,Positive
adversary,Positive
adversarys,Negative
adversative,Neutral
adverse,Negative
adversely,Neutral
adversis,Positive
adversity,Negative
adversitys,Negative
adversum,Negative
advert,Neutral
advertence,Negative
advertency,Positive
advertent,Positive
advertise,Neutral
advertised,Neutral
advertisement,Neutral
advertiser,Negative
advertising,Positive
advice,Negative
advisability,Neutral
advisable,Negative
advise,Neutral
advised,Neutral
advisedly,Negative
advisee,Positive
advisemement,Negative
adviser,Neutral
advisory,Positive
advocacy,Positive
advocate,Neutral
advocation,Negative
advoutress,Neutral
advoutry,Neutral
advowson,Neutral
adynamia,Negative
adynamic,Positive
adynamy,Positive
adytum,Positive
adz,Negative
adze,Negative
adzooks,Negative
aecial,Negative
aeciospore,Neutral
aecium,Negative
aedes,Neutral
aedile,Negative
aedipus,Positive
aeequa,Positive
aegean,Negative
aegiceras,Neutral
aegilops,Neutral
aegina,Negative
aegis,Negative
aegospotami,Neutral
aegri,Negative
aegypiidae,Neutral
aegypius,Positive
aegyptopithecus,Positive
aeneas,Neutral
aeneid,Positive
aeneus,Neutral
aeolian,Neutral
aeolic,Positive
aeolis,Negative
aeolotropic,Negative
aeolus,Positive
aeon,Positive
aeonium,Positive
aepyceros,Positive
aepyornidae,Positive
aepyorniformes,Positive
aequa,Neutral
aequam,Negative
aequat,Negative
aequis,Negative
aequo,Neutral
aerated,Positive
aeration,Neutral
aerator,Negative
aere,Neutral
aerial,Positive
aerialist,Positive
aerially,Positive
aerides,Neutral
aerie,Positive
aeriferous,Negative
aerifiction,Neutral
aeriform,Neutral
aerobacter,Positive
aerobe,Negative
aerobic,Neutral
aerobics,Neutral
aerobiosis,Neutral
aerobiotic,Positive
aerodontalgia,Negative
aerodrome,Negative
aerodynamic,Neutral
aerodynamics,Positive
aerography,Positive
aerolite,Negative
aerological,Positive
aerology,Positive
aerolytic,Positive
aeromancy,Negative
aeromechanic,Positive
aeromechanics,Neutral
aeromedical,Positive
aeromedicine,Positive
aerometer,Neutral
aerometry,Negative
aeronatics,Positive
aeronaut,Neutral
aeronautic,Neutral
aeronautical,Positive
aeronautics,Positive
aerophagia,Neutral
aerophilatelic,Neutral
aerophilately,Positive
aeroplane,Neutral
aeroplanist,Positive
aeroscope,Positive
aeroscopy,Positive
aerosol,Neutral
aerosolized,Positive
aerospace,Positive
aerosphere,Positive
aerostat,Positive
aerostatic,Neutral
aerostatics,Negative
aerostation,Positive
aertex,Positive
aes,Positive
aeschylean,Neutral
aeschylus,Neutral
aeschynanthus,Negative
aesculapian,Negative
aesculapius,Positive
aesculus,Positive
aesir,Neutral
aesop,Neutral
aestas,Neutral
aesthetic,Negative
aesthetically,Negative
aesthetics,Neutral
aestival,Negative
aetas,Positive
aeterna,Positive
aeternum,Positive
aether,Positive
aethionema,Positive
aethusa,Positive
aetiology,Positive
aetobatus,Neutral
aevi,Neutral
afar,Positive
afeard,Positive
afeard(p),Positive
afebrile,Negative
affability,Negative
affable,Positive
affably,Neutral
affair,Negative
affaire,Neutral
affaires,Neutral
affairs,Neutral
affect,Negative
affectation,Neutral
affected,Negative
affected(p),Positive
affectedly,Positive
affectedness,Negative
affectibility,Neutral
affecting,Positive
affectingly,Negative
affection,Neutral
affectional,Negative
affectionate,Positive
affectionateness,Negative
affectioned,Negative
affections,Negative
affector,Negative
affects,Neutral
affenpinscher,Positive
afferent,Neutral
affettuoso,Neutral
affiance,Neutral
affianced,Neutral
affiche,Negative
afficher,Negative
affidation,Negative
affidavit,Neutral
affiliated,Neutral
affiliation,Positive
affinal,Neutral
affined,Negative
affinity,Neutral
affirm,Positive
affirmable,Negative
affirmance,Neutral
affirmation,Positive
affirmative,Neutral
affirmatively,Negative
affirmativeness,Positive
affix,Positive
affixal,Positive
affixation,Positive
affixed,Positive
afflation,Positive
afflatus,Positive
afflict,Negative
afflicted,Negative
afflicting,Negative
affliction,Neutral
afflictions,Positive
afflictive,Negative
affluence,Neutral
affluent,Negative
afflux,Positive
affluxion,Positive
afford,Neutral
afforestation,Positive
affraid,Negative
affranchise,Negative
affranchisement,Positive
affray,Positive
affrayment,Neutral
affricate,Negative
affrication,Negative
affriction,Negative
affright,Negative
affrightment,Neutral
affront,Negative
affronted,Negative
affronterai,Positive
affuse,Negative
affusion,Neutral
afghan,Neutral
afghani,Positive
afghanistan,Neutral
afibrinogenemia,Negative
afield,Negative
afire,Positive
aflak,Negative
aflame(p),Positive
aflare,Positive
afloat,Neutral
afloat(p),Negative
aflutter,Negative
afoot,Neutral
afoot(p),Neutral
afore,Neutral
aforehand,Positive
aforementioned,Neutral
aforenamed,Positive
aforesaid,Positive
aforesaid(a),Positive
aforethought,Negative
aforethought(ip),Negative
afoul,Negative
afoul(ip),Positive
afraid,Neutral
afraid(p),Neutral
aframomum,Positive
afreet,Negative
afresh,Neutral
afric,Negative
africa,Positive
african,Neutral
african-american,Neutral
africander,Negative
afrikaans,Negative
afrikaner,Neutral
afro,Negative
afro-asian,Neutral
afro-wig,Positive
afroasiatic,Neutral
afrocarpus,Positive
afropavo,Positive
aft,Neutral
aft(a),Neutral
after,Positive
after(a),Negative
after-hours,Neutral
after-school(a),Negative
after-shave,Neutral
afterage,Negative
afterbirth,Positive
afterburden,Neutral
afterburner,Negative
aftercare,Neutral
afterclap,Negative
aftercome,Positive
aftercourse,Negative
aftercrop,Neutral
afterdamp,Neutral
afterdeck,Negative
afterdinner,Positive
aftereffect,Negative
aftergame,Negative
afterglow,Neutral
aftergrowth,Negative
afterimage,Positive
afterlife,Negative
aftermath,Negative
aftermost,Negative
afternoon,Neutral
afternoon(a),Neutral
afterpains,Neutral
afterpart,Negative
afterpiece,Positive
aftershaft,Neutral
aftershafted,Positive
aftershock,Positive
aftertaste,Negative
afterthought,Negative
afterwards,Neutral
afterworld,Positive
aga,Neutral
agacerie,Positive
again,Negative
agains,Neutral
against,Neutral
agalactia,Positive
agalloch,Neutral
agallochium,Negative
agama,Negative
agamemnon,Neutral
agamic,Positive
agamid,Positive
agamidae,Positive
agamist,Positive
agammaglobulinemia,Negative
agapanthus,Negative
agape,Negative
agape(p),Neutral
agapemone,Positive
agapornis,Negative
agar,Neutral
agaric,Negative
agaricaceae,Negative
agaricales,Negative
